zona_nombre,zona_slug,aliases
Calderon,calderon,"CALDERON|CALDERON ZONAL"
Choco Andino,choco-andino,"CHOCO ANDINO"
Eloy Alfaro,eloy-alfaro,"ELOY ALFARO"
Eugenio Espejo,eugenio-espejo,"EUGENIO ESPEJO"
La Delicia,la-delicia,"LA DELICIA"
La Mariscal,la-mariscal,"LA MARISCAL"
Los Chillos,los-chillos,"LOS CHILLOS"
Manuela Saenz,manuela-saenz,"MANUELA SAENZ|MANUELA SAENZ ZONAL"
Quitumbe,quitumbe,"QUITUMBE"
Tumbaco,tumbaco,"TUMBACO"
